Redshift,AppMag,DAppMag
 0.2339, 20.6829, 0.1101
 0.2507, 20.3957, 0.1269
 0.2007, 20.1422, 0.0804
 0.3040, 21.1621, 0.1874
 0.1262, 19.1323, 0.0307
 0.2181, 20.4437, 0.0953
 0.1040, 18.6954, 0.0206
 0.2865, 20.6463, 0.1664
 0.1250, 19.1298, 0.0302
 0.2417, 20.5823, 0.1177
 0.2575, 20.7786, 0.1340
 0.2974, 21.0046, 0.1794
 0.2343, 20.7011, 0.1105
 0.1366, 19.3003, 0.0363
 0.1583, 19.6863, 0.0492
 0.0725, 17.8850, 0.0098
 0.2209, 20.6676, 0.0978
 0.3114, 21.3432, 0.1967
 0.2098, 20.3476, 0.0880
 0.2759, 20.9204, 0.1542
 0.1433, 19.4903, 0.0400
 0.3008, 21.3468, 0.1835
 0.2330, 20.5189, 0.1092
 0.2856, 21.2237, 0.1653
 0.2514, 20.6008, 0.1276
 0.3100, 21.2002, 0.1950
 0.2864, 20.9365, 0.1663
 0.2964, 20.8849, 0.1782
 0.1648, 19.7150, 0.0534
 0.3037, 21.1676, 0.1871
 0.2520, 20.7218, 0.1282
 0.2169, 20.5684, 0.0943
 0.2039, 20.1720, 0.0830
 0.3083, 21.3679, 0.1927
 0.1325, 19.2340, 0.0340
 0.3094, 21.1130, 0.1942
 0.2147, 20.2262, 0.0923
 0.3104, 21.2146, 0.1954
 0.2831, 21.0541, 0.1624
 0.2575, 20.7404, 0.1340
 0.1821, 19.9054, 0.0658
 0.2686, 20.9394, 0.1461
 0.1954, 20.1624, 0.0760
 0.1424, 19.4801, 0.0395
 0.1652, 19.7238, 0.0537
 0.2271, 20.6060, 0.1036
 0.2900, 20.9876, 0.1705
 0.2127, 20.2981, 0.0906
 0.1822, 20.0485, 0.0658
 0.2483, 20.6879, 0.1244
 0.3008, 20.8780, 0.1836
 0.2769, 21.3323, 0.1553
 0.1522, 19.5810, 0.0453
 0.1758, 19.8054, 0.0611
 0.2481, 20.7187, 0.1242
 0.1103, 18.8299, 0.0233
 0.1507, 19.5137, 0.0444
 0.1913, 20.2072, 0.0728
 0.2088, 20.3148, 0.0872
 0.2813, 20.9571, 0.1603
 0.1333, 19.2063, 0.0344
 0.2398, 20.7139, 0.1159
 0.1735, 19.8496, 0.0595
 0.1196, 19.0416, 0.0275
 0.2622, 20.9586, 0.1390
 0.2353, 20.5869, 0.1114
 0.2880, 21.1722, 0.1681
 0.2930, 21.2967, 0.1741
 0.2891, 20.9433, 0.1694
 0.2661, 20.7388, 0.1432
 0.0415, 16.6552, 0.0031
 0.1215, 19.0113, 0.0284
 0.0980, 18.5490, 0.0182
 0.2211, 20.5752, 0.0981
 0.2929, 21.0681, 0.1740
 0.2699, 20.7309, 0.1475
 0.1267, 19.1834, 0.0310
 0.2948, 21.2287, 0.1762
 0.1355, 19.2901, 0.0356
 0.2932, 21.0620, 0.1743
 0.1417, 19.3803, 0.0391
 0.3110, 21.4587, 0.1963
 0.1559, 19.5879, 0.0476
 0.2564, 20.9848, 0.1328
 0.2532, 20.9091, 0.1294
 0.1888, 19.9639, 0.0708
 0.2953, 21.3234, 0.1768
 0.2609, 20.9764, 0.1377
 0.1000, 18.6213, 0.0190
 0.1635, 19.7743, 0.0526
 0.2437, 20.7196, 0.1197
 0.2979, 21.0597, 0.1800
 0.3043, 21.3373, 0.1878
 0.2635, 20.8516, 0.1404
 0.0602, 17.4893, 0.0067
 0.2753, 20.9850, 0.1535
 0.3101, 21.4319, 0.1950
 0.3001, 21.3865, 0.1826
 0.2399, 20.6644, 0.1160
 0.3070, 21.0147, 0.1912
 0.2476, 20.8848, 0.1237
 0.2462, 20.5310, 0.1223
 0.1850, 20.1317, 0.0679
 0.2736, 20.7811, 0.1516
 0.1653, 19.7742, 0.0538
 0.2783, 20.7679, 0.1568
 0.2869, 20.9452, 0.1668
 0.2782, 21.2610, 0.1567
 0.2367, 20.4791, 0.1128
 0.2400, 20.5549, 0.1161
 0.1793, 19.9140, 0.0637
 0.2503, 20.6930, 0.1264
 0.0883, 18.3072, 0.0147
 0.2939, 21.0081, 0.1752
 0.2705, 21.1531, 0.1482
 0.2486, 20.7792, 0.1247
 0.2990, 20.9754, 0.1814
 0.2313, 20.6509, 0.1076
 0.2891, 21.0546, 0.1695
 0.2586, 20.9133, 0.1352
 0.2708, 20.9593, 0.1484
 0.3114, 21.4330, 0.1967
 0.2739, 21.0627, 0.1519
 0.2635, 21.0408, 0.1405
 0.2553, 20.6528, 0.1317
